Please use tf.one_hot on tensors.
Extracting ./data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:290: DataSet.__init__ (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
RBM:  0   784 -> 500
RBM:  1   500 -> 200
RBM:  2   200 -> 50
New RBM:
2019-01-19 20:01:36.263732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Epoch: 3 reconstruction error: 0.044108
Epoch: 4 reconstruction error: 0.043401
Epoch: 5 reconstruction error: 0.043101
Epoch: 6 reconstruction error: 0.042623
Epoch: 7 reconstruction error: 0.043126
Epoch: 8 reconstruction error: 0.042847
Epoch: 9 reconstruction error: 0.042508
Epoch: 10 reconstruction error: 0.042846
Epoch: 11 reconstruction error: 0.042815
Epoch: 12 reconstruction error: 0.042925
Epoch: 13 reconstruction error: 0.042558
Epoch: 14 reconstruction error: 0.042316
Epoch: 15 reconstruction error: 0.042343
Epoch: 16 reconstruction error: 0.041982
Epoch: 17 reconstruction error: 0.042166
Epoch: 18 reconstruction error: 0.042257
Epoch: 19 reconstruction error: 0.042166
Epoch: 20 reconstruction error: 0.042564
Epoch: 21 reconstruction error: 0.042096
Epoch: 22 reconstruction error: 0.042353
Epoch: 23 reconstruction error: 0.042292
Epoch: 24 reconstruction error: 0.041908
Epoch: 25 reconstruction error: 0.042013
Epoch: 26 reconstruction error: 0.041896
Epoch: 27 reconstruction error: 0.042089
Epoch: 28 reconstruction error: 0.041927
Epoch: 29 reconstruction error: 0.041317
Epoch: 30 reconstruction error: 0.042092
Epoch: 31 reconstruction error: 0.042241
Epoch: 32 reconstruction error: 0.041986
Epoch: 33 reconstruction error: 0.041794
Epoch: 34 reconstruction error: 0.041870
Epoch: 35 reconstruction error: 0.042191
Epoch: 36 reconstruction error: 0.041711
Epoch: 37 reconstruction error: 0.041704
Epoch: 38 reconstruction error: 0.041559
Epoch: 39 reconstruction error: 0.041683
Epoch: 40 reconstruction error: 0.041926
Epoch: 41 reconstruction error: 0.041901
Epoch: 42 reconstruction error: 0.041673
Epoch: 43 reconstruction error: 0.041791
Epoch: 44 reconstruction error: 0.041982
Epoch: 45 reconstruction error: 0.041920
Epoch: 46 reconstruction error: 0.041753
Epoch: 47 reconstruction error: 0.041745
Epoch: 48 reconstruction error: 0.041823
Epoch: 49 reconstruction error: 0.041415
Epoch: 50 reconstruction error: 0.041263
Epoch: 51 reconstruction error: 0.041881
Epoch: 52 reconstruction error: 0.041983
Epoch: 53 reconstruction error: 0.041145
Epoch: 54 reconstruction error: 0.041397
Epoch: 55 reconstruction error: 0.041796
Epoch: 56 reconstruction error: 0.041459
Epoch: 57 reconstruction error: 0.041736
Epoch: 58 reconstruction error: 0.041922
Epoch: 59 reconstruction error: 0.041523
Epoch: 60 reconstruction error: 0.041735
Epoch: 61 reconstruction error: 0.041998
Epoch: 62 reconstruction error: 0.041584
Epoch: 63 reconstruction error: 0.041552
Epoch: 64 reconstruction error: 0.041501
Epoch: 65 reconstruction error: 0.041495
Epoch: 66 reconstruction error: 0.041931
Epoch: 67 reconstruction error: 0.041422
Epoch: 68 reconstruction error: 0.041658
Epoch: 69 reconstruction error: 0.041629
Epoch: 70 reconstruction error: 0.041375
Epoch: 71 reconstruction error: 0.041422
Epoch: 72 reconstruction error: 0.041655
Epoch: 73 reconstruction error: 0.041460
Epoch: 74 reconstruction error: 0.041566
Epoch: 75 reconstruction error: 0.041661
Epoch: 76 reconstruction error: 0.041801
Epoch: 77 reconstruction error: 0.041284
Epoch: 78 reconstruction error: 0.041819
Epoch: 79 reconstruction error: 0.041676
Epoch: 80 reconstruction error: 0.041475
Epoch: 81 reconstruction error: 0.041269
Epoch: 82 reconstruction error: 0.041661
Epoch: 83 reconstruction error: 0.041390
Epoch: 84 reconstruction error: 0.041710
Epoch: 85 reconstruction error: 0.041608
Epoch: 86 reconstruction error: 0.041782
Epoch: 87 reconstruction error: 0.041525
Epoch: 88 reconstruction error: 0.041607
Epoch: 89 reconstruction error: 0.041634
Epoch: 90 reconstruction error: 0.041766
Epoch: 91 reconstruction error: 0.041604
Epoch: 92 reconstruction error: 0.041131
Epoch: 93 reconstruction error: 0.041376
Epoch: 94 reconstruction error: 0.041806
Epoch: 95 reconstruction error: 0.041409
Epoch: 96 reconstruction error: 0.041535
Epoch: 97 reconstruction error: 0.041677
Epoch: 98 reconstruction error: 0.041809
Epoch: 99 reconstruction error: 0.041605
Accuracy rating for epoch 0: 0.4465636363636364
Accuracy rating for epoch 1: 0.7087272727272728
Accuracy rating for epoch 2: 0.7818727272727273
Accuracy rating for epoch 3: 0.8055272727272728
Accuracy rating for epoch 4: 0.8197090909090909
Accuracy rating for epoch 5: 0.8294909090909091
Accuracy rating for epoch 6: 0.8364
Accuracy rating for epoch 7: 0.8416181818181818
Accuracy rating for epoch 8: 0.8460727272727273
Accuracy rating for epoch 9: 0.8785454545454545
Accuracy rating for epoch 10: 0.9204181818181818
Accuracy rating for epoch 11: 0.9278
Accuracy rating for epoch 12: 0.9320181818181819
Accuracy rating for epoch 13: 0.9348545454545455
Accuracy rating for epoch 14: 0.9370727272727273
Accuracy rating for epoch 15: 0.9388363636363637
Accuracy rating for epoch 16: 0.940490909090909
Accuracy rating for epoch 17: 0.9421818181818182
Accuracy rating for epoch 18: 0.9435636363636364
Accuracy rating for epoch 19: 0.9446727272727272
Accuracy rating for epoch 20: 0.9459272727272727
Accuracy rating for epoch 21: 0.9469454545454545
Accuracy rating for epoch 22: 0.9478363636363636
Accuracy rating for epoch 23: 0.9486363636363636
Accuracy rating for epoch 24: 0.9494363636363636
Accuracy rating for epoch 25: 0.9504363636363636
Accuracy rating for epoch 26: 0.9509272727272727
Accuracy rating for epoch 27: 0.951490909090909
Accuracy rating for epoch 28: 0.9521818181818181
Accuracy rating for epoch 29: 0.9529454545454545
Accuracy rating for epoch 30: 0.9534181818181818
Accuracy rating for epoch 31: 0.9539636363636363
Accuracy rating for epoch 32: 0.9545090909090909
Accuracy rating for epoch 33: 0.9552727272727273
Accuracy rating for epoch 34: 0.9558545454545454
Accuracy rating for epoch 35: 0.9565090909090909
Accuracy rating for epoch 36: 0.9570727272727273
Accuracy rating for epoch 37: 0.9576363636363636
Accuracy rating for epoch 38: 0.9580363636363637
Accuracy rating for epoch 39: 0.9583272727272727
Accuracy rating for epoch 40: 0.9586727272727272
Accuracy rating for epoch 41: 0.9592
Accuracy rating for epoch 42: 0.9596181818181818
Accuracy rating for epoch 43: 0.9599818181818182
Accuracy rating for epoch 44: 0.9605090909090909
Accuracy rating for epoch 45: 0.9608
Accuracy rating for epoch 46: 0.9612
Accuracy rating for epoch 47: 0.9614727272727273
Accuracy rating for epoch 48: 0.9617272727272728
Accuracy rating for epoch 49: 0.9621272727272727
Accuracy rating for epoch 50: 0.9625090909090909
Accuracy rating for epoch 51: 0.9628545454545454
Accuracy rating for epoch 52: 0.9631636363636363
Accuracy rating for epoch 53: 0.9635090909090909
Accuracy rating for epoch 54: 0.963690909090909
Accuracy rating for epoch 55: 0.9639090909090909
Accuracy rating for epoch 56: 0.9642909090909091
Accuracy rating for epoch 57: 0.9645818181818182
Accuracy rating for epoch 58: 0.9648727272727273
Accuracy rating for epoch 59: 0.9652727272727273
Accuracy rating for epoch 60: 0.9655090909090909
Accuracy rating for epoch 61: 0.9658727272727273
Accuracy rating for epoch 62: 0.9661272727272727
Accuracy rating for epoch 63: 0.9663272727272727
Accuracy rating for epoch 64: 0.9666
Accuracy rating for epoch 65: 0.9667636363636364
Accuracy rating for epoch 66: 0.9671272727272727
Accuracy rating for epoch 67: 0.9673272727272727
Accuracy rating for epoch 68: 0.9675818181818182
Accuracy rating for epoch 69: 0.9677818181818182
Accuracy rating for epoch 70: 0.9679636363636364
Accuracy rating for epoch 71: 0.9681636363636363
Accuracy rating for epoch 72: 0.9682909090909091
Accuracy rating for epoch 73: 0.9684363636363637
Accuracy rating for epoch 74: 0.9686181818181818
Accuracy rating for epoch 75: 0.9689272727272727
Accuracy rating for epoch 76: 0.9690727272727273
Accuracy rating for epoch 77: 0.9691818181818181
Accuracy rating for epoch 78: 0.9693090909090909
Accuracy rating for epoch 79: 0.9695454545454546
Accuracy rating for epoch 80: 0.9695818181818182
Accuracy rating for epoch 81: 0.9698181818181818
Accuracy rating for epoch 82: 0.97
Accuracy rating for epoch 83: 0.9702363636363637
Accuracy rating for epoch 84: 0.9703454545454545
Accuracy rating for epoch 85: 0.9705818181818182
